,moive name,English name,star,year,length,vote num,director,scriptwriter,type,actor,Domestic,International,Worldwide,imdb str
17,天堂电影院 Nuovo Cinema Paradiso,Cinema Paradiso,9.2,1988,155分钟,474179,朱塞佩·托纳多雷,朱塞佩·托纳多雷/瓦娜·波利/理查德·埃帕卡,剧情/爱情,安东内拉·阿蒂利/恩佐·卡拉瓦勒/艾萨·丹尼埃利/里奥·故罗塔/马克·莱昂纳蒂/普佩拉·玛奇奥/阿格妮丝·那诺/莱奥波多·特里耶斯泰/萨瓦特利·卡西欧/尼古拉·迪·平托/罗伯塔·蕾娜/尼诺·戴罗佐/雅克·贝汉/菲利普·努瓦雷/玛丽娜·朱迪切/比阿特丽斯·帕姆/罗斯科·阿巴克尔/茹涅·阿斯托尔/伊格纳齐奥·巴尔萨莫/碧姬·芭铎/约翰·巴里摩尔/伊萨·巴尔齐扎/英格丽·褒曼/维尔玛·班基/克拉拉·卡拉马伊/查理·卓别林/加里·库珀/奥利维娅·德哈维兰/维托里奥·德西卡/柯克·道格拉斯/埃罗尔·弗林/布丽吉特·佛西/让·迦本/克拉克·盖博/葛丽泰·嘉宝/维托里奥·加斯曼/马西莫·吉洛蒂/法利·格兰杰/加里·格兰特/乔治亚·黑尔/劳伦斯·哈维/海伦·海丝/路易·茹韦/安娜·马尼亚尼/西尔瓦娜·曼加诺/马塞洛·马斯楚安尼/阿梅德奥·纳扎里/苏济·普里姆/唐娜·里德/简·拉塞尔/罗莎琳德·拉塞尔/伊冯娜·桑松/玛丽亚·雪儿/瑙玛·希拉/西蒙·西涅莱/阿尔贝托·索尔迪/詹姆斯·斯图尔特/朱塞佩·托纳多雷/托托/斯宾塞·屈塞/克莱尔·特雷弗/鲁道夫·瓦伦蒂诺/阿莉达·瓦利/约翰·韦恩,"$12,397,210","$490,451","$12,887,661",tt0095765
18,罗马假日 Roman Holiday,Roman Holiday,9.0,1953,118分钟,698670,威廉·惠勒,伊安·麦克莱伦·亨特/约翰·戴顿/达尔顿·特朗勃,剧情/喜剧/爱情,奥黛丽·赫本/格利高里·派克/埃迪·艾伯特/哈特利·鲍尔/哈考特·威廉姆斯/玛格丽特·罗林斯/托里奥·卡米纳提/Paolo Carlini/Claudio Ermelli/保拉·布鲁布尼/里佐·弗雷多里佐,获取失败,获取失败,获取失败,tt0046250
19,闻香识女人 Scent of a Woman,Scent of a Woman,9.1,1992,157 分钟,607084,马丁·布莱斯特,博·古德曼/乔瓦尼·阿尔皮诺,剧情,阿尔·帕西诺/克里斯·奥唐纳/詹姆斯·瑞布霍恩/加布里埃尔·安瓦尔/菲利普·塞默·霍夫曼/理查德·文彻/布莱德利·惠特福德/罗谢尔·奥利弗/Margaret Eginton/Tom Riis Farrell/Nicholas Sadler/托德·路易斯/马特·史密斯/吉恩·坎菲尔德/弗兰西丝·康罗伊,"$63,095,253","$71,000,000","$134,095,253",tt0105323
20,辩护人 변호인,The Attorney,9.2,2013,127分钟,434069,杨宇硕,杨宇硕/尹贤浩,剧情,宋康昊/金英爱/吴达洙/郭度沅/任时完/宋永彰/郑元中/赵敏基/李杭娜/李星民/车光洙/韩基重/沈熙燮/赵莞基/李静恩,"$557,236","$77,990,350","$78,547,586",tt3404140
21,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,9.0,2001,152分钟,658766,克里斯·哥伦布,史蒂夫·克洛夫斯/J·K·罗琳,奇幻/冒险,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/伊恩·哈特/理查德·哈里斯/约翰·赫特/罗彼·考特拉尼/朱丽·沃特斯/邦妮·怀特/约翰·克立斯/肖恩·比格斯代夫,"$318,087,620","$659,999,992","$978,087,613",tt0241527
22,搏击俱乐部 Fight Club,Fight Club,9.0,1999,139 分钟,628833,大卫·芬奇,恰克·帕拉尼克/吉姆·乌尔斯,剧情/动作/悬疑/惊悚,爱德华·诺顿/布拉德·皮特/海伦娜·伯翰·卡特/扎克·格雷尼尔/米特·洛夫/杰瑞德·莱托/艾恩·贝利/里奇蒙德·阿奎特 /乔治·马奎尔,"$37,030,102","$64,157,401","$101,187,503",tt0137523
23,我不是药神,Dying to Survive,9.0,2018,117分钟,1485387,文牧野,韩家女/钟伟/文牧野,剧情/喜剧,徐峥/王传君/周一围/谭卓/章宇/杨新鸣/王佳佳/王砚辉/贾晨飞/龚蓓苾/宁浩/李乃文/岳小军/苇青/富冠铭/巴拉特·巴蒂/喜利图/张海艳/朱耕佑,"$6,752","$451,176,639","$451,183,391",tt7362036
24,死亡诗社 Dead Poets Society,Dead Poets Society,9.1,1989,128 分钟,496500,彼得·威尔,汤姆·舒尔曼,剧情,罗宾·威廉姆斯/罗伯特·肖恩·莱纳德/伊桑·霍克/乔西·查尔斯/盖尔·汉森/迪伦·库斯曼/阿勒隆·鲁杰罗/詹姆斯·沃特斯顿/诺曼·劳埃德/柯特伍德·史密斯/卡拉·贝尔韦尔/利昂·波纳尔/乔治·马丁/乔·奥菲耶里/马特·凯里/凯文·库尼/拉腊·弗林·鲍尔/亚历桑德拉·鲍尔斯/梅洛拉·沃尔特斯/帕梅拉·伯勒尔/约翰·库宁汉姆/迪布拉·穆尼/库尔特·莱特纳/凯瑟·斯内德/霍纳斯·斯蒂克洛瑞斯/杰米·肯尼迪,"$95,860,116","$140,000,000","$235,860,116",tt0097165
0,教父2 The Godfather: Part Ⅱ,The Godfather: Part II,9.2,1974,202分钟,366442,弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉/马里奥·普佐,剧情/犯罪,阿尔·帕西诺/罗伯特·杜瓦尔/黛安·基顿/罗伯特·德尼罗/约翰·凯泽尔/塔莉娅·夏尔/李·斯特拉斯伯格/迈克尔·V·格佐/G·D·斯普拉德林/理查德·布赖特/加斯通·莫辛/汤姆·罗斯奎/布鲁诺·柯比/弗兰克·西维罗/弗朗西丝卡·德·萨维奥/摩甘娜金/玛丽亚娜·希尔/莱奥波多·特里耶斯泰/多米尼克·查尼斯/Amerigo Tot/特洛伊·多纳胡/约翰·阿普雷亚/乔·斯皮内尔/阿贝·维高达/吉亚尼·罗素/Maria Carta/菲伊·斯潘/哈利·戴恩·斯坦通/卡明·卡里迪/丹尼·爱罗/威廉·鲍尔斯/约瑟夫·德拉·索尔特/卡门·阿尔根齐亚诺/乔·罗·格里普/Ezio Flagello/凯瑟琳·贝勒/Saveria Mazzola/Tito Alba/彼得·多纳特/汤姆·达尔格伦/Phil Feldman/罗杰·科曼/伊凡·科尔/艾丽卡·约恩/Teresa Tirelli/詹姆斯·肯恩/Italia Coppola/罗曼·科波拉/索菲亚·科波拉/朱莉·格雷格/George Holmes/Buck Houghton/Shep Houghton/小杉正一/加里·库尔茨/Laura Lyons/理查德·麦瑟森/约翰·梅根纳/Harrison Ressler/Al Roberts/Hank Robinson/Filomena Spagnuolo,"$47,834,595","$201,188","$48,035,783",tt0071562
1,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,9.1,2002,179分钟,491159,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/斯蒂芬·辛克莱/彼得·杰克逊/J·R·R·托尔金,剧情/动作/奇幻/冒险,伊利亚·伍德/西恩·奥斯汀/多米尼克·莫纳汉/奥兰多·布鲁姆/维果·莫腾森/伊恩·麦克莱恩/凯特·布兰切特/比利·博伊德/杰德·布罗菲/丽芙·泰勒/安迪·瑟金斯/米兰达·奥图/雨果·维文/布拉德·道里夫/卡卢姆·吉廷斯/伯纳德·希尔/布鲁斯·霍普金斯/克里斯托弗·李/纳撒尼尔·利斯/罗宾·马尔科姆/约翰·贝西/萨拉·贝克/克雷格·帕克/布鲁斯·菲利普斯/Robert Pollock/约翰·瑞斯-戴维斯/奥利维亚·田內/卡尔·厄本/史蒂芬·乌瑞/大卫·文翰/菲利普·格里夫/肖恩·宾/约翰·诺贝尔/Jarl Benzon/Jørn Benzon/Ben Britton/阿利斯泰尔·布朗宁/Sean Button/Robert Catto/罗德尼·库克/卡尔洛斯德林克沃特/西奥沙福瓦/本·弗兰舍姆/Jonathan Harding/Lucas Hayward/丹·汉纳/Paul Holmes/杰森霍德/彼得·杰克逊/Sam Kelly/Sandro Kopp,"$342,551,365","$608,656,724","$951,208,089",tt0167261
2,狮子王 The Lion King,The Lion King,9.0,1994,89 分钟,568562,罗杰·阿勒斯/罗伯·明可夫,艾琳·梅琪/乔纳森·罗伯特 /琳达·伍尔芙顿,动画/歌舞/冒险,乔纳森·泰勒·托马斯/马修·布罗德里克/杰瑞米·艾恩斯/詹姆斯·厄尔·琼斯/莫伊拉·凯利/内森·连恩/尼基塔·卡兰姆/厄尼·萨贝拉/乌比·戈德堡/罗温·艾金森,"$422,783,777","$545,728,028","$968,511,805",tt0110357
3,窃听风暴 Das Leben der Anderen,The Lives of Others,9.1,2006,137分钟,408209,弗洛里安·亨克尔·冯·多纳斯马尔克,弗洛里安·亨克尔·冯·多纳斯马尔克,剧情/悬疑,乌尔里希·穆埃/马蒂娜·格德克/塞巴斯蒂安·科赫/乌尔里希·图库尔/托马斯·蒂梅/汉斯-尤韦·鲍尔/沃克马·克莱纳特/马提亚斯·布伦纳/查理·哈纳/赫伯特·克瑙普/巴斯蒂安·特罗斯特/玛丽·格鲁伯/维尔纳·德恩/马丁·布拉姆马赫/托马斯·阿诺德/辛纳克·勋纳曼/路德韦格·布洛克伯格/迈克尔·格伯/吉塔·施维赫夫/希尔德加德·斯罗德/伊嘉·比肯费尔德/凯·伊沃·保利兹/克劳斯·芒斯特,"$11,286,112","$66,070,830","$77,356,942",tt0405094
4,大闹天宫,Havoc in Heaven,9.3,1961,114分钟,270805,万籁鸣/唐澄,李克弱/万籁鸣,动画/奇幻,邱岳峰/富润生/毕克/尚华/于鼎/李梓/刘广宁,获取失败,获取失败,获取失败,tt0059855
5,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,9.0,2001,178分钟,552825,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/J·R·R·托尔金,剧情/动作/奇幻/冒险,伊利亚·伍德/西恩·奥斯汀/伊恩·麦克莱恩/奥兰多·布鲁姆/维果·莫腾森/多米尼克·莫纳汉/比利·博伊德/克里斯托弗·李/马尔顿·索克斯/梅根·爱德华兹/伊安·霍姆/Michael Elsworth/凯特·布兰切特/阿兰·霍华德/马克·弗格森/肖恩·宾/萨拉·贝克/Noel Appleby/劳伦斯·马克奥雷/安迪·瑟金斯/彼得·麦肯齐/Sarah McLeod/伊恩·穆内/克雷格·帕克/卡梅隆·罗德/约翰·瑞斯-戴维斯/Martyn Sanderson/Harry Sinclair/丽芙·泰勒/大卫·韦瑟莱/雨果·维文/菲利普·格里夫/威廉·约翰逊/伊丽莎白·穆迪/布莱恩·瑟金特/Gino Acevedo/Jarl Benzon/Jørn Benzon/Ben Britton/杰德·布罗菲/诺曼·凯茨/兰德尔·威廉·库克/萨比恩·克洛森/西奥沙福瓦/本·弗兰舍姆/Jonathan Harding/Taea Hartwell/彼得·杰克逊/Sam Kelly/艾伦·李,"$315,544,750","$572,288,076","$887,832,826",tt0120737
6,"两杆大烟枪 Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",9.1,1998,107分钟,435873,盖·里奇,盖·里奇,剧情/喜剧/犯罪,杰森·弗莱明/德克斯特·弗莱彻/尼克·莫兰/杰森·斯坦森/斯蒂文·麦金托什/斯汀/维尼·琼斯,"$3,753,929",获取失败,"$3,753,929",tt0120735
7,美丽心灵 A Beautiful Mind,A Beautiful Mind,9.0,2001,135分钟,538204,朗·霍华德,阿齐瓦·高斯曼/西尔维娅·纳萨尔,剧情/传记,罗素·克劳/艾德·哈里斯/詹妮弗·康纳利/克里斯托弗·普卢默/保罗·贝坦尼/亚当·戈德堡/乔什·卢卡斯/安东尼·拉普/贾森·加里-斯坦福德/贾德·赫希/奥斯汀·潘德尔顿/薇薇·卡登尼/吉莉·西蒙/维克多·斯坦巴赫/坦娅·克拉克/罗伊·辛尼斯/谢丽尔·霍华德/兰斯·霍华德/简·詹金斯/乔什·帕斯/瓦伦蒂娜·卡迪纳利/蒂格尔·F·伯格里/迈克尔·埃斯佩尔/艾米·瓦尔兹/小艾德.朱普/卡拉·奥奇格罗索/斯特里奥·萨万特/迈克尔·阿伯特/雷吉·奥斯汀/凯德·比特纳/理查·布莱恩特/丹·陈/乔纳·福尔肯/法布里奇奥·范特/斯科特·费恩斯特罗姆/迈克尔·菲奥里/塞斯·盖贝尔/埃文·哈特/杰森·霍顿/布莱丝·达拉斯·霍华德/朗·霍华德/多里·曼佐尔/罗伯特·迈尔斯/里德·彭尼/米尔斯·彼埃尔/肖恩·里德,"$170,742,341","$146,048,916","$316,791,257",tt0268978
8,猫鼠游戏 Catch Me If You Can,Catch Me If You Can,9.0,2002,141 分钟,562075,史蒂文·斯皮尔伯格,杰夫·内桑森,剧情/传记/犯罪,莱昂纳多·迪卡普里奥/汤姆·汉克斯/克里斯托弗·沃肯/马丁·辛/艾米·亚当斯/詹妮弗·加纳/伊丽莎白·班克斯/纳塔莉·贝伊/詹姆斯·布洛林/艾伦·旁派/南希·利内翰/布莱恩·豪威 /弗兰克·约翰·休斯/克里斯·埃里斯,"$164,615,351","$187,498,961","$352,114,312",tt0264464
9,饮食男女 飲食男女,Eat Drink Man Woman,9.1,1994,124分钟,401959,李安,李安/王蕙玲/詹姆斯·夏慕斯,剧情/家庭,郎雄/杨贵媚/吴倩莲/王渝文/张艾嘉/归亚蕾/赵文瑄/陈昭荣/陈捷文/卢金城/唐语谦/洪其德/王瑞/杜满生/王玨/陈妤/左正芬/许敬民/聂卓晶/丁仲,"$7,294,403",获取失败,"$7,294,403",tt0111797
10,黑客帝国 The Matrix,The Matrix,9.0,1999,136分钟,551773,莉莉·沃卓斯基/拉娜·沃卓斯基,莉莉·沃卓斯基/拉娜·沃卓斯基,动作/科幻,基努·里维斯/劳伦斯·菲什伯恩/凯瑞-安·莫斯/雨果·维文/格洛丽亚·福斯特/乔·潘托里亚诺/马库斯·钟/朱利安·阿拉汗加/马特·多兰/贝琳达·麦克洛里/安东尼雷派克/罗伯特·泰勒/阿达·尼科德莫/罗温·维特/Tamara Brown/Natalie Tjen/比尔·扬/Chris Scott/纳许·埃哲顿,"$171,479,930","$293,863,857","$465,343,787",tt0133093
11,飞越疯人院 One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,9.1,1975,133分钟,428993,米洛斯·福尔曼,劳伦斯·奥邦/博·古德曼/肯·凯西/达尔·瓦瑟曼,剧情,杰克·尼科尔森/丹尼·德维托/克里斯托弗·洛伊德/路易丝·弗莱彻/威尔·萨姆森/特德·马克兰德/布拉德·道里夫/斯加特曼·克罗索斯/迈克尔·贝里曼/彼得·布罗科/穆瓦科·卡姆布卡/威廉·达尔/乔西普·艾利克/西德尼·拉斯克/凯·李/德怀特·马费尔德/路易莎·莫里茨/威廉·雷德菲尔德/菲利普·罗斯/米米·萨奇席恩/文森特·斯卡维利/米斯·斯马尔/德罗斯·V·史密斯,"$108,981,275","$16,354","$108,997,629",tt0073486
12,钢琴家 The Pianist,The Pianist,9.2,2002,150分钟,366386,罗曼·波兰斯基,罗纳德·哈伍德,剧情/音乐/传记/历史/战争,艾德里安·布洛迪/托马斯·克莱舒曼/艾米莉娅·福克斯/米哈乌·热布罗夫斯基/埃德·斯托帕德/穆琳·利普曼/弗兰克·芬莱/茱莉亚·蕾娜/杰西卡·凯特·梅耶尔/理查德·赖丁斯,"$32,572,577","$87,500,000","$120,072,577",tt0253474
13,V字仇杀队 V for Vendetta,V for Vendetta,8.9,2005,132分钟,755507,詹姆斯·麦克特格,莉莉·沃卓斯基/拉娜·沃卓斯基,剧情/动作/科幻/惊悚,娜塔莉·波特曼/雨果·维文/斯蒂芬·瑞/斯蒂芬·弗雷/约翰·赫特/蒂姆·皮戈特-史密斯/鲁珀特·格雷夫斯/罗杰·阿拉姆/本·迈尔斯/西妮德·库萨克/娜塔莎·怀特曼/约翰·斯坦丁/埃迪·马森/克里夫·阿什伯恩/Emma Field-Rayner/伊安·布尔费尔德/马克·菲尼克斯/Alister Mazzotti/比莉·库克/盖伊·亨利/科斯马·肖/Megan Gay/Roderic Culver/Tara Hacking/安迪·莱什利兹/查德·斯塔赫斯基/布拉德利·斯蒂夫·福特/马德琳·拉基克-普拉特/塞丽娜·贾尔斯/卡斯腾·海斯/伊莫琴·普茨/劳拉·格林伍德/Kyra Meyer/玛丽·萧克莱 /理查德·莱恩/Michael Simkins,"$70,511,035","$62,000,000","$132,511,035",tt0434409
14,本杰明·巴顿奇事 The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,8.9,2008,166分钟,702769,大卫·芬奇,艾瑞克·罗斯/罗宾·史威考德/F·司各特·菲茨杰拉德,剧情/爱情/奇幻,凯特·布兰切特/布拉德·皮特/朱莉娅·奥蒙德/芳妮·A·钱勃丝/伊莱亚斯·科泰斯/杰森·弗莱明/大卫·詹森/蒂尔达·斯文顿/艾丽·范宁/乔安娜·塞勒/乔什·斯图沃特/丹尼·文森/塔拉吉·P·汉森/马赫沙拉·阿里/菲奥娜·黑尔/唐娜·杜普兰提尔/兰斯·E·尼克尔斯/特德·曼森/克莱·卡伦/菲利斯·萨莫维尔/杰瑞德·哈里斯/麦迪逊·贝蒂/汤姆·埃沃雷特/克里斯托弗·马克斯韦尔/伊利亚·沃里克,"$127,509,326","$208,293,460","$335,802,786",tt0421715
15,让子弹飞,Let the Bullets Fly,8.8,2010,132分钟,1143140,姜文,朱苏进/述平/姜文/郭俊立/危笑/李不空/马识途,剧情/喜剧/动作/西部,姜文/葛优/周润发/刘嘉玲/陈坤/张默/姜武/周韵/廖凡/姚橹/邵兵/苗圃/冯小刚/胡军/马珂/白冰/杜奕衡/李静/胡明/危笑/杨奇雨/赵铭,"$63,012","$104,668,438","$104,731,450",tt1533117
16,看不见的客人 Contratiempo,The Invisible Guest,8.8,2016,106分钟,825524,奥里奥尔·保罗,奥里奥尔·保罗,剧情/悬疑/惊悚/犯罪,马里奥·卡萨斯/阿娜·瓦格纳/何塞·科罗纳多/巴巴拉·莱涅/弗兰塞斯克·奥雷利亚/帕科·图斯/大卫·塞尔瓦斯/伊尼戈·加斯特西/圣·耶拉莫斯/马内尔·杜维索/布兰卡·马丁内斯/佩雷·布拉索/霍尔迪·布鲁内特/鲍比·冈萨雷斯/玛蒂娜·乌尔塔多,获取失败,"$31,191,910","$31,191,910",tt4857264
17,西西里的美丽传说 Malèna,Malena,8.9,2000,109 分钟,690878,朱塞佩·托纳多雷,朱塞佩·托纳多雷/卢恰诺·温琴佐尼,剧情/情色/战争,莫妮卡·贝鲁奇/朱塞佩·苏尔法罗/Luciano Federico/玛蒂尔德·皮亚纳/Pietro Notarianni/Gaetano Aronica/Gilberto Idonea/Angelo Pellegrino/Gabriella Di Luzio/Pippo Provvidenti/埃丽萨·莫鲁奇/奥罗拉·夸特罗基/露琪亚·萨多/瓦尼·布拉马蒂/Salvatore Martino/安东内洛·普利西/Noam Morgensztern,"$3,448,233","$11,045,051","$14,493,284",tt0213847
18,小鞋子 بچههای آسمان,Children of Heaven,9.2,1997,89分钟,283180,马基德·马基迪,马基德·马基迪,剧情/家庭/儿童,法拉赫阿米尔·哈什米安/默罕默德·阿米尔·纳吉/巴哈丽·西迪奇/纳菲丝·贾法-穆罕默迪/费雷什特·萨拉班迪/Kamal Mirkarimi/Behzad Rafi/Dariush Mokhtari/Mohammad-Hasan Hosseinian/Masume Dair/克里斯托弗·马利基,"$933,933",获取失败,"$933,933",tt0118849
19,拯救大兵瑞恩 Saving Private Ryan,Saving Private Ryan,9.0,1998,169分钟,454740,史蒂文·斯皮尔伯格,罗伯特·罗达特,剧情/历史/战争,汤姆·汉克斯/汤姆·塞兹摩尔/爱德华·伯恩斯/巴里·佩珀/亚当·戈德堡/范·迪塞尔/吉奥瓦尼·瑞比西/杰瑞米·戴维斯/马特·达蒙/特德·丹森/保罗·吉亚玛提/丹尼斯·法里纳/马克斯·马蒂尼/丹兰·布鲁诺/丹尼尔·切尔奎拉/迪米特里·格里特萨斯/史蒂夫·格里芬/彼得·迈尔斯/亚当·肖/罗尔夫·萨克森/克里·约翰逊/洛克兰·艾肯/尚恩约翰逊/莱尔德·曼辛托斯/安德鲁·斯科特/马修·夏普/文森特·沃尔什/约翰·沙拉恩/马丁·哈伯/罗非洛·迪格托勒/恩里奇·雷德曼/米歇尔·埃文斯/内森·菲利安/利兰·奥瑟/大卫·维格/瑞恩·赫斯特/哈威·普雷斯内尔/代尔·戴/布莱恩·科兰斯顿/大卫·沃尔/埃里克·罗兰/哈里逊·杨/凯思琳·拜荣/约翰·德·兰西/詹姆斯·恩布里/德里克·李/若昂·科斯塔·梅内塞斯/马克·施泰因迈尔,"$217,049,603","$265,300,000","$482,349,603",tt0120815
20,海豚湾 The Cove,The Cove,9.3,2009,92分钟,283802,路易·西霍尤斯,马克·蒙雷,纪录片,Richard O'Barry/路易·西霍尤斯/Hardy Jones/Michael Illiff/Joji Morishita/Ian Campbell/Paul Watson/Doug DeMaster/Dave Rastovich/Charles Hambleton/Hayato Sakurai/Mandy-Rae Cruikshank/Kirk Krack/伊莎贝尔·卢卡斯/海顿·潘妮蒂尔,"$857,005","$330,429","$1,187,434",tt1313104
21,情书 Love Letter,Love Letter,8.9,1995,117分钟,645494,岩井俊二,岩井俊二,剧情/爱情,中山美穗/丰川悦司/酒井美纪/柏原崇/范文雀/篠原胜之/铃木庆一/田口智朗/加贺麻理子/光石研/铃木兰兰/盐见三省/中村久美/梅田凡乃/长田江身子 /小栗香织/神户浩/酒井敏也/山口诗史/山崎一/德井优/武藤寿美,获取失败,"$454,754","$454,754",tt0113703
22,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,The Boy in the Striped Pajamas,9.1,2008,94分钟,349819,马克·赫尔曼,约翰·伯恩/马克·赫尔曼,剧情/战争,阿萨·巴特菲尔德/维拉·法米加/卡拉·霍根/祖萨·霍尔/安贝尔·比蒂/拉斯洛·阿隆/大卫·休里斯/理查德·约翰逊/谢拉·汉考克/伊凡·弗雷贝利/贝拉·费斯彼姆/阿提拉·埃杰德/鲁伯特·弗兰德/大卫·海曼/吉姆·诺顿/杰克·塞隆/米哈利·绍鲍多什/泽索特·萨法尔·科夫卡/奥索利亚·茱莉娅·帕普,"$9,046,156","$31,370,407","$40,416,563",tt0914798
23,音乐之声 The Sound of Music,The Sound of Music,9.0,1965,174分钟,422619,罗伯特·怀斯,乔治·胡达勒克/霍华德·林赛/拉塞尔·克劳斯/恩斯特·莱赫曼/Maria von Trapp,剧情/爱情/歌舞/传记,朱莉·安德鲁斯/克里斯托弗·普卢默/埃琳诺·帕克/理查德·海顿/佩吉·伍德/查尔敏·卡尔/希瑟·孟席斯-尤里克/尼古拉斯·哈蒙德/杜安·蔡斯/安吉拉·卡特怀特/黛比·特纳/基姆·卡拉思/安娜·李/波希娅·纳尔逊/本·怀特/丹尼尔·特鲁希特/诺玛·威登/吉尔克里斯特·斯图尔特/马妮·尼克松/埃瓦德妮·贝克/多丽丝·劳埃德/格特鲁德·阿斯特/弗兰克·贝克/Steve Carruthers/山姆·哈里斯/Dorothy Jeakins/Leoda Richards/杰弗里·塞尔/Bernard Sell/Norman Stevans/伯特史蒂文斯/Maria von Trapp,"$159,287,539","$126,035","$159,413,574",tt0059742
24,绿皮书 Green Book,Green Book,8.9,2018,130分钟,1063208,彼得·法雷里,尼克·瓦莱隆加/布莱恩·库瑞/彼得·法雷里,剧情/喜剧/传记,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫/迈克·哈顿/P·J·伯恩/乔·柯蒂斯/玛姬·尼克松/冯·刘易斯/乔恩·索特兰/唐·斯达克/安东尼·曼加诺/保罗·斯隆/珍娜·劳伦索/肯尼斯·以色列/伊克博·塞巴/尼克·瓦莱隆加/大卫·安/迈克·切罗内/杰拉尔丁·辛格/马丁·巴特斯·布拉德福德/格拉伦·布莱恩特·班克斯/汤姆·维图/夏恩·帕特洛/丹尼斯·W·霍尔/吉姆·克洛克/戴恩·罗兹/布赖恩·斯特帕尼克/乔恩·迈克尔·戴维斯/布莱恩·库瑞/托尼亚·马尔多纳多,"$85,080,171","$242,829,269","$327,909,440",tt6966692
0,美国往事 Once Upon a Time in America,Once Upon a Time in America,9.2,1984,229分钟(导演剪辑版),298692,赛尔乔·莱昂内,皮耶罗·德·贝纳迪/莱奥纳多·本韦努蒂/弗兰科·奥卡利/恩里科·梅迪欧力/弗兰科·费里尼/赛尔乔·莱昂内,剧情/犯罪,罗伯特·德尼罗/詹姆斯·伍兹/伊丽莎白·麦戈文/乔·佩西/波特·杨/塔斯黛·韦尔德/特里特·威廉斯/丹尼·爱罗/理查德·布赖特/詹姆斯·海登/威廉·弗西斯/达兰妮·弗鲁格/拉里·拉普/理查德·弗让吉/罗伯特·哈珀/詹妮弗·康纳利,"$5,321,508","$151,406","$5,472,914",tt0087843
1,海蒂和爷爷 Heidi,Heidi,9.2,2015,111分钟,265700,阿兰·葛斯彭纳,约翰娜·施皮里/佩特拉·比翁迪娜·沃尔普,剧情/家庭/冒险,阿努克·斯特芬/布鲁诺·甘茨/昆林·艾格匹/安娜·申茨/伊莎贝尔·奥特曼/莉莲·奈福/彼得·杰克林/克里斯托夫·高格勒/丽贝卡·因德穆/莫妮卡·古布瑟/阿瑟·比勒/玛丽埃塔·耶米/彼得·洛迈尔/卡塔琳娜·舒特勒/杰拉·哈斯/迈克尔·克兰茨/劳拉·帕克/马库斯·赫林/马克西姆·梅米特/汉内洛勒·霍格,获取失败,"$38,755,161","$38,755,161",tt3700392
2,致命魔术 The Prestige,The Prestige,8.9,2006,130分钟,601957,克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/克里斯托弗·普瑞丝特,剧情/悬疑/惊悚,休·杰克曼/克里斯蒂安·贝尔/迈克尔·凯恩/丽贝卡·豪尔/斯嘉丽·约翰逊/大卫·鲍伊/安迪·瑟金斯/派珀·佩拉博/萨曼塔·马霍林/丹尼尔·戴维斯/吉姆·皮多克/克里斯托弗·尼姆/马克·瑞安/罗杰·里斯/杰米·哈里斯/罗恩·帕金斯/瑞奇·杰/安东尼·德·马克/冀朝理,"$53,089,891","$56,586,420","$109,676,311",tt0482571
3,低俗小说 Pulp Fiction,Pulp Fiction,8.8,1994,154分钟,595819,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺/罗杰·阿夫瑞,剧情/喜剧/犯罪,约翰·特拉沃尔塔/乌玛·瑟曼/阿曼达·普拉莫/蒂姆·罗斯/塞缪尔·杰克逊/菲尔·拉马/布鲁斯·威利斯/弗兰克·威利/布尔·斯蒂尔斯/文·瑞姆斯/劳拉·拉芙蕾丝/保罗·考尔德伦/布罗娜·加拉赫/罗姗娜·阿奎特/埃里克·斯托尔兹/玛丽亚·德·梅黛洛,"$107,928,762","$106,250,326","$214,179,088",tt0110912
4,七宗罪 Se7en,Se7en,8.8,1995,127分钟,698146,大卫·芬奇,安德鲁·凯文·沃克,剧情/悬疑/惊悚/犯罪,摩根·弗里曼/布拉德·皮特/凯文·史派西/格温妮斯·帕特洛/安德鲁·凯文·沃克/约翰·卡西尼/雷格·E·凯蒂/李·厄米,"$100,125,643","$227,207,916","$327,333,559",tt0114369
