,moive name,English name,star,year,length,vote num,director,scriptwriter,type,actor,Domestic,International,Worldwide,imdb str
3,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,Mad Max: Fury Road,8.6,2015,120分钟,365170,乔治·米勒,乔治·米勒/布伦丹·麦卡锡/尼克·拉图里,动作/科幻/冒险,汤姆·哈迪/查理兹·塞隆/尼古拉斯·霍尔特/休·基斯-拜恩/乔什·赫尔曼/内森·琼斯/佐伊·克罗维兹/罗茜·汉丁顿-惠特莉/丽莉·吉欧/阿比·丽/考特尼·伊顿/安格斯·桑普森/理查德·卡特/梅根·盖尔/肖恩·哈普,"$154,058,340","$221,151,022","$375,209,362",tt1392190
4,彗星来的那一夜 Coherence,Coherence,8.5,2013,89分钟,356454,詹姆斯·沃德·布柯特,詹姆斯·沃德·布柯特/亚历克斯·马努吉安,科幻/悬疑/惊悚,艾米丽·芭尔多尼/莫瑞·史特林/尼古拉斯·布兰登/劳伦·斯卡法莉娅/伊丽莎白·格瑞斯/雨果·阿姆斯特朗/亚历克斯·马努吉安/劳伦·马赫,"$102,617","$37,128","$139,745",tt2866360
5,步履不停 歩いても 歩いても,Still Walking,8.8,2008,115分钟,179154,是枝裕和,是枝裕和,剧情/家庭,阿部宽/夏川结衣/江原由希子/高桥和也/田中祥平/野本萤/林凌雅/寺岛进/加藤治子/树木希林/原田芳雄,"$167,047","$3,344,073","$3,511,120",tt1087578
6,朗读者 The Reader,The Reader,8.6,2008,124 分钟,368738,史蒂芬·戴德利,戴维·黑尔/本哈德·施林克,剧情/爱情,凯特·温丝莱特/大卫·克劳斯/拉尔夫·费因斯/詹妮特·海因/苏珊娜·洛塔尔/Alissa Wilms/弗罗里安·巴西奥罗麦/弗里德里克·贝希特/马蒂亚斯·哈比希/Frieder Venus/Marie-Anne Fliegel/Hendrik Arnst/Rainer Sellien/托尔斯滕·米凯利斯/Moritz Grove,"$34,194,407","$74,708,079","$108,902,486",tt0976051
7,浪潮 Die Welle,The Wave,8.7,2008,107 分钟,202267,丹尼斯·甘塞尔,丹尼斯·甘塞尔/彼得·图万斯/约翰尼·道金斯/罗恩·比恩巴赫/罗恩·琼斯,剧情/惊悚,于尔根·福格尔/弗雷德里克·劳/马克思·雷迈特/詹妮弗·乌尔里希/克里斯蒂安娜·保罗/雅各布·马琛茨/克里斯蒂娜·度·瑞格/埃利亚斯·穆巴里克/马克西米利安·福尔马尔/马克斯·毛夫,获取失败,"$32,350,637","$32,350,637",tt1063669
8,小萝莉的猴神大叔 Bajrangi Bhaijaan,Bajrangi Bhaijaan,8.4,2015,159分钟,352203,卡比尔·汗,卡比尔·汗/维杰耶德拉·普拉萨德,剧情/喜剧/动作,萨尔曼·汗/哈莎莉·马洛特拉/卡琳娜·卡普尔/纳瓦祖丁·席迪圭/欧姆·普瑞/梅·维贾/席尔帕.舒克拉/拉杰什·沙玛/沙拉蒂·瑟斯纳/阿图·斯里瓦斯塔瓦/阿德南·萨米/马诺·巴克什,"$8,178,001","$112,948,187","$121,126,188",tt3863552
9,再次出发之纽约遇见你 Begin Again,Begin Again,8.5,2013,104分钟,300964,约翰·卡尼,约翰·卡尼,喜剧/爱情/音乐,凯拉·奈特莉/马克·鲁弗洛/亚当·莱文/詹姆斯·柯登/海莉·斯坦菲尔德/凯瑟琳·基纳/茅斯·达夫/罗伯·莫洛/伊恩·布罗茨基/香农·沃尔什/大卫·埃伯利斯/马科·阿桑特/玛丽·凯瑟琳·歌瑞森/詹·雅各布/席洛·格林/詹妮弗·李·杰克逊/特里·刘易斯/吉米·帕伦博/西蒙·德兰尼/丹妮尔·布里瑟布瓦/基恩·鲁弗洛/尼古拉斯·丹尼尔·冈萨雷斯/麦迪·科尔曼/阿雅·卡什/大卫·彭德尔顿/保罗·罗梅罗/安德鲁·塞伦/凯伦·皮特曼/罗恩·沃斯,"$16,170,632","$47,294,229","$63,464,861",tt1980929
10,驴得水,Mr. Donkey,8.3,2016,111分钟,656517,周申/刘露,周申/刘露,剧情/喜剧,任素汐/大力/刘帅良/裴魁山/阿如那/韩彦博/卜冠今/王堃/高阳/苏千越/麦亚瑟/王峰,"$356,255","$25,181,504","$25,537,759",tt6167014
11,聚焦 Spotlight,Spotlight,8.8,2015,128分钟,207483,汤姆·麦卡锡,乔希·辛格/汤姆·麦卡锡,剧情/传记,马克·鲁弗洛/迈克尔·基顿/瑞秋·麦克亚当斯/列维·施瑞博尔/约翰·斯拉特里/布莱恩·达西·詹姆斯/斯坦利·图齐/比利·克鲁德普/保罗·吉尔福伊尔/杰米·谢尔丹/兰·卡琉/尼尔·哈夫/迈克尔·西里尔·克赖顿/迈克尔·康特里曼,"$45,055,776","$53,634,478","$98,690,254",tt1895587
12,东京物语 東京物語,Tokyo Story,9.2,1953,136 分钟,90378,小津安二郎,野田高梧/小津安二郎,剧情/家庭,笠智众/原节子/杉村春子/东山千荣子/山村聪/香川京子,获取失败,"$40,405","$40,405",tt0046438
